snapshot_date,month,universe_type,asset_class,asset_count,market_cap_usd,total_market_cap_usd,market_cap_share
2024-03-31,2024-03,full_top100,lst_restaking,5,40424302795.15455,2577477006888.146,0.015683671546680388
2024-03-31,2024-03,full_top100,risk_assets,80,320503894357.15436,2577477006888.146,0.12434791600492566
2024-03-31,2024-03,full_top100,stablecoins,5,145998537087.6215,2577477006888.146,0.05664397265133677
2024-03-31,2024-03,full_top100,wrapped_assets,2,12619283462.849861,2577477006888.146,0.004895982943446485
2024-04-30,2024-04,clean_risk_top100,base_assets,8,1868868155941.7554,2131545956536.1926,0.8767665319206656
2024-04-30,2024-04,clean_risk_top100,risk_assets,92,262677800594.43723,2131545956536.1926,0.12323346807933441
2024-04-30,2024-04,ex_stable_top100,base_assets,8,1868868155941.7554,2175948756500.6272,0.8588750770708771
2024-04-30,2024-04,ex_stable_top100,lst_restaking,5,37819562763.88298,2175948756500.6272,0.017380723075806532
2024-04-30,2024-04,ex_stable_top100,risk_assets,85,256633987246.56204,2175948756500.6272,0.11794119070123794
2024-04-30,2024-04,ex_stable_top100,wrapped_assets,2,12627050548.426819,2175948756500.6272,0.00580300915207843
2024-04-30,2024-04,full_top100,base_assets,8,1868868155941.7554,2327175500172.9536,0.8030628355286753
2024-04-30,2024-04,full_top100,lst_restaking,5,37819562763.88298,2327175500172.9536,0.01625127230888786
2024-04-30,2024-04,full_top100,risk_assets,80,252118623888.6441,2327175500172.9536,0.10833674721562979
2024-04-30,2024-04,full_top100,stablecoins,5,155742107030.2444,2327175500172.9536,0.06692323248447303
2024-04-30,2024-04,full_top100,wrapped_assets,2,12627050548.426819,2327175500172.9536,0.005425912462334013
2024-05-31,2024-05,clean_risk_top100,base_assets,8,2033858984088.2478,2313448113373.484,0.8791461422155963
2024-05-31,2024-05,clean_risk_top100,risk_assets,92,279589129285.23596,2313448113373.484,0.12085385778440365
2024-05-31,2024-05,ex_stable_top100,base_assets,8,2033858984088.2478,2366924832776.815,0.8592833012369797
2024-05-31,2024-05,ex_stable_top100,lst_restaking,5,44265187133.22344,2366924832776.815,0.018701560151064313
2024-05-31,2024-05,ex_stable_top100,risk_assets,85,273216409171.29318,2366924832776.815,0.11543096146858317
2024-05-31,2024-05,ex_stable_top100,wrapped_assets,2,15584252384.05059,2366924832776.815,0.0065841771433728
2024-05-31,2024-05,full_top100,base_assets,8,2033858984088.2478,2517639009042.5044,0.8078437682222578
2024-05-31,2024-05,full_top100,lst_restaking,5,44265187133.22344,2517639009042.5044,0.01758202306773843
2024-05-31,2024-05,full_top100,risk_assets,80,268410641686.92227,2517639009042.5044,0.10661204434904384
2024-05-31,2024-05,full_top100,stablecoins,5,155519943750.06027,2517639009042.5044,0.06177213778126469
2024-05-31,2024-05,full_top100,wrapped_assets,2,15584252384.05059,2517639009042.5044,0.006190026579695202
2024-06-30,2024-06,clean_risk_top100,base_assets,8,1816173466263.085,2043612895069.765,0.8887071864953584
2024-06-30,2024-06,clean_risk_top100,risk_assets,92,227439428806.6799,2043612895069.765,0.11129281350464153
2024-06-30,2024-06,ex_stable_top100,base_assets,8,1816173466263.085,2094456405022.3064,0.8671335731352892
2024-06-30,2024-06,ex_stable_top100,lst_restaking,7,42787413239.97649,2094456405022.3064,0.020428887007328658
2024-06-30,2024-06,ex_stable_top100,risk_assets,83,221410881315.21774,2094456405022.3064,0.10571281444879711
