month,asset_class_final,market_cap_usd,share
2024-05-01,governance/infrastructure risk assets,2124570203.9022267,0.0008438740408261439
2024-05-01,other risk assets,242514616303.73383,0.09632620698706354
2024-05-01,productized/wrapped assets,59849439517.27403,0.023772049647433634
2024-05-01,selected majors ex BTC/ETH,261266983034.6374,0.10377460076534209
2024-05-01,stable-like assets,155519943750.06027,0.06177213778126469
2024-06-01,BTC,1199792912680.844,0.5340603426796549
2024-06-01,ETH,405186539487.579,0.1803595102461509
2024-06-01,governance/infrastructure risk assets,1713498524.385416,0.0007627246330949001
2024-06-01,other risk assets,188671564832.86533,0.08398282695586351
2024-06-01,productized/wrapped assets,56108712844.62467,0.024975508766891415
2024-06-01,selected majors ex BTC/ETH,239264589541.69357,0.10650315344522705
2024-06-01,stable-like assets,155811526420.27402,0.06935593327311727
2024-07-01,BTC,1306758338817.987,0.5521252592345102
2024-07-01,ETH,393942961780.88654,0.16644688879018374
2024-07-01,governance/infrastructure risk assets,1417105715.236158,0.0005987487029125817
2024-07-01,other risk assets,185838883252.1096,0.07851975269140754
2024-07-01,productized/wrapped assets,55575067815.98292,0.023481310823415345
2024-07-01,selected majors ex BTC/ETH,264840843189.92148,0.1118992814956039
2024-07-01,stable-like assets,158405563778.7991,0.06692875826196668
2024-08-01,BTC,1168247205700.9673,0.5594576299085714
2024-08-01,ETH,304009556580.61725,0.14558602422857653
2024-08-01,governance/infrastructure risk assets,958539724.0726773,0.0004590315813177143
2024-08-01,other risk assets,157374857240.19064,0.0753646695743378
2024-08-01,productized/wrapped assets,62659259887.44244,0.030006663707293078
2024-08-01,selected majors ex BTC/ETH,229242556612.22043,0.10978112917419851
2024-08-01,stable-like assets,165686186900.8482,0.07934485182570497
2024-09-01,BTC,1297825615076.3352,0.5633728527840951
2024-09-01,ETH,320146112155.9396,0.13897215960128825
2024-09-01,governance/infrastructure risk assets,1188484401.8308942,0.0005159089481443836
2024-09-01,other risk assets,193044967579.31827,0.08379885004379181
2024-09-01,productized/wrapped assets,66295374635.20726,0.028778145461730825
2024-09-01,selected majors ex BTC/ETH,258563994469.7135,0.1122399908735702
2024-09-01,stable-like assets,166606295355.95816,0.07232209228737943
2024-10-01,BTC,1431085552900.1963,0.5875900818093596
2024-10-01,ETH,320125387602.99,0.13144043157286492
2024-10-01,governance/infrastructure risk assets,1011979940.3264034,0.0004155093136960006
2024-10-01,other risk assets,181369754468.75092,0.07446869172151377
2024-10-01,productized/wrapped assets,68568933640.905975,0.028153750309329224
2024-10-01,selected majors ex BTC/ETH,263754368415.67004,0.10829502862415365
2024-10-01,stable-like assets,169600886238.70563,0.06963650664908284
2024-11-01,BTC,1926826079390.244,0.5670151780415088
2024-11-01,ETH,433361301691.3607,0.12752704474115656
2024-11-01,governance/infrastructure risk assets,1572854011.8722107,0.0004628503356448491
2024-11-01,other risk assets,305774587369.45306,0.08998156810952349
2024-11-01,productized/wrapped assets,90400785023.9252,0.026602617518885888
2024-11-01,selected majors ex BTC/ETH,451827300332.7692,0.13296111147886958
2024-11-01,stable-like assets,188428452851.83365,0.05544962977441081
2024-12-01,BTC,1833188187477.531,0.5664378926248681
2024-12-01,ETH,404631151447.3196,0.1250272166719396
2024-12-01,governance/infrastructure risk assets,1677019242.573907,0.0005181831587961611
2024-12-01,other risk assets,275677335488.4871,0.08518170148881747
2024-12-01,productized/wrapped assets,86310578472.01497,0.026669156235505524
2024-12-01,selected majors ex BTC/ETH,433718272918.7632,0.13401486338565707
2024-12-01,stable-like assets,201142006308.36456,0.06215098643441614
2025-01-01,BTC,2076760153260.6191,0.580722190851729
2025-01-01,ETH,391509879851.78656,0.10947748338230696
2025-01-01,governance/infrastructure risk assets,1882775015.3018584,0.0005264783369665233
2025-01-01,other risk assets,283169696862.63715,0.07918243543276139
2025-01-01,productized/wrapped assets,88409505244.57324,0.02472185413281233
2025-01-01,selected majors ex BTC/ETH,522490901957.53864,0.14610356463575713
2025-01-01,stable-like assets,211945152290.65372,0.05926599322766664
2025-02-01,BTC,1679555320077.2097,0.5948874979094309
2025-02-01,ETH,277936135130.7404,0.09844315934704839
2025-02-01,governance/infrastructure risk assets,1205944294.2407303,0.0004271375734060628
2025-02-01,other risk assets,209131725756.64825,0.0740730880261417
2025-02-01,productized/wrapped assets,64628586503.731384,0.022891022200364656
2025-02-01,selected majors ex BTC/ETH,373198074271.2203,0.13218431448725265
2025-02-01,stable-like assets,217660094665.57965,0.07709378045635563
2025-03-01,BTC,1633996304187.2593,0.6079849717744192
2025-03-01,ETH,217784813538.97607,0.08103438996347759
2025-03-01,other risk assets,193939944132.84186,0.07216207965549062
2025-03-01,productized/wrapped assets,55300883494.90131,0.020576610855598886
2025-03-01,selected majors ex BTC/ETH,359984712287.8179,0.13394479202839676
2025-03-01,stable-like assets,226553693428.06754,0.084297155722617
2025-04-01,BTC,1870818389258.404,0.6307093295917169
2025-04-01,ETH,216596941729.71945,0.07302136471093802
2025-04-01,other risk assets,206852158369.61438,0.0697361041985562
2025-04-01,productized/wrapped assets,57443095052.06718,0.019365800645312323
2025-04-01,selected majors ex BTC/ETH,382404974325.2093,0.12892025563464618
2025-04-01,stable-like assets,232097721270.62427,0.07824714521883033
2025-05-01,BTC,2066830946978.064,0.6362781364518262
2025-05-01,ETH,304659964725.2192,0.0937901935764362
2025-05-01,other risk assets,197449125871.88763,0.06078511744634725
2025-05-01,productized/wrapped assets,65915595233.61333,0.0202922508779338
2025-05-01,selected majors ex BTC/ETH,376067658715.2337,0.11577319829519173
2025-05-01,stable-like assets,237390344559.1664,0.07308110335226485
2025-06-01,BTC,2155183166489.813,0.6369385747548385
2025-06-01,ETH,302158279316.21674,0.08929926085656217
2025-06-01,other risk assets,203204482950.7442,0.060054651394314644
2025-06-01,productized/wrapped assets,79102456427.0833,0.023377783679673754
2025-06-01,selected majors ex BTC/ETH,400773668005.3369,0.11844385798277564
2025-06-01,stable-like assets,243237300963.3722,0.07188587133183526
2025-07-01,BTC,2343717963709.7124,0.597527452742813
2025-07-01,ETH,459449027043.4022,0.11713585467419792
