date,asset,window_days,feature_id,feature_label,beta,n
2025-07-07,BTC,180,btc_oi_growth,BTC OI growth,-0.13388741983627167,179
2025-07-21,BTC,180,qqq_ret,QQQ return,-0.33248646604301285,179
2025-07-21,BTC,180,spy_ret,SPY return,0.21711204727545505,179
2025-07-21,BTC,180,vix_d1,VIX change,0.03151513495468967,179
2025-07-21,BTC,180,dxy_ret,DXY return,0.11766604135038827,179
2025-07-21,BTC,180,real_yield_d1,Real-yield change,0.1812942431504575,179
2025-07-21,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.06745641371644027,179
2025-07-21,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.030652172952414215,179
2025-07-21,BTC,180,btc_oi_growth,BTC OI growth,-0.11208413751987084,179
2025-08-04,BTC,180,qqq_ret,QQQ return,-0.2834314714176202,179
2025-08-04,BTC,180,spy_ret,SPY return,0.1901923931327975,179
2025-08-04,BTC,180,vix_d1,VIX change,0.07245783082958086,179
2025-08-04,BTC,180,dxy_ret,DXY return,0.10954615578279273,179
2025-08-04,BTC,180,real_yield_d1,Real-yield change,0.14407345821070516,179
2025-08-04,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.08117211981746311,179
2025-08-04,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,-0.001849127253344567,179
2025-08-04,BTC,180,btc_oi_growth,BTC OI growth,-0.11380282049983154,179
2025-08-18,BTC,180,qqq_ret,QQQ return,-0.19560700267042982,179
2025-08-18,BTC,180,spy_ret,SPY return,0.07842043468684287,179
2025-08-18,BTC,180,vix_d1,VIX change,0.03772266951426485,179
2025-08-18,BTC,180,dxy_ret,DXY return,0.12075009606585856,179
2025-08-18,BTC,180,real_yield_d1,Real-yield change,0.17748192577800667,179
2025-08-18,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.07609223317576112,179
2025-08-18,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,-0.013140202400691381,179
2025-08-18,BTC,180,btc_oi_growth,BTC OI growth,-0.13311555322046165,179
2025-09-01,BTC,180,qqq_ret,QQQ return,-0.8026286313297728,179
2025-09-01,BTC,180,spy_ret,SPY return,0.628779002168833,179
2025-09-01,BTC,180,vix_d1,VIX change,0.07340648239682282,179
2025-09-01,BTC,180,dxy_ret,DXY return,0.005292016868422147,179
2025-09-01,BTC,180,real_yield_d1,Real-yield change,0.16710756150602019,179
2025-09-01,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.016094763515874685,179
2025-09-01,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,-0.05211945336678972,179
2025-09-01,BTC,180,btc_oi_growth,BTC OI growth,-0.01658780844059595,179
2025-09-15,BTC,180,qqq_ret,QQQ return,-0.6925448374435628,179
2025-09-15,BTC,180,spy_ret,SPY return,0.6133056680450915,179
2025-09-15,BTC,180,vix_d1,VIX change,0.12646289129178243,179
2025-09-15,BTC,180,dxy_ret,DXY return,0.03292988860914481,179
2025-09-15,BTC,180,real_yield_d1,Real-yield change,0.22176386443473822,179
2025-09-15,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.0035571477498366876,179
2025-09-15,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,-0.0358250612346274,179
